,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.049,Apple,4,165,90,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
1,0.102,Apple,4,155,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
2,0.136,Apple,4,150,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
3,0.169,Apple,4,145,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
4,0.202,Apple,4,140,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
5,0.235,Apple,4,135,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
6,0.269,Apple,4,130,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
7,0.301,Apple,4,125,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
8,0.335,Apple,4,120,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
9,0.368,Apple,4,115,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
10,0.401,Apple,4,110,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
11,0.434,Apple,4,105,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
12,0.466,Apple,4,100,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
13,0.5,Apple,4,95,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
14,0.533,Apple,4,90,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
15,0.567,Apple,4,85,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
16,0.6,Apple,4,80,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
17,0.632,Apple,4,75,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
18,0.666,Apple,4,70,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
19,0.699,Apple,4,65,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
20,0.732,Apple,4,60,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
21,0.765,Apple,4,55,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
22,0.799,Apple,4,50,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
23,0.831,Apple,4,45,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
24,0.865,Apple,4,40,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
25,0.898,Apple,4,35,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
26,0.931,Apple,4,30,90,[],motion_changeyby{math_number(NUM:-5)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
27,0.965,Apple,4,25,90,[],motion_changeyby{math_number(NUM:-5)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
28,0.997,Apple,4,20,90,[],motion_changeyby{math_number(NUM:-5)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
29,1.033,Apple,4,15,90,[],motion_changeyby{math_number(NUM:-5)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
30,1.066,Apple,4,10,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
31,1.1,Apple,4,5,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
32,1.134,Apple,4,0,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
33,1.166,Apple,4,-5,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
34,1.199,Apple,4,-10,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
35,1.232,Apple,4,-15,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
36,1.265,Apple,4,-20,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
37,1.298,Apple,4,-25,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
38,1.333,Apple,4,-30,90,[],motion_changeyby{math_number(NUM:-5)},['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
39,1.366,Apple,4,-35,90,[],motion_changeyby{math_number(NUM:-5)},['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
40,1.397,Apple,4,-40,90,[],motion_changeyby{math_number(NUM:-5)},['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
41,1.433,Apple,4,-45,90,[],motion_changeyby{math_number(NUM:-5)},['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
42,1.464,Apple,4,-50,90,[],motion_changeyby{math_number(NUM:-5)},['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
43,1.497,Apple,4,-55,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
44,1.53,Apple,4,-60,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
45,1.565,Apple,4,-65,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
46,1.598,Apple,4,-70,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
47,1.629,Apple,4,-75,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
48,1.662,Apple,4,-80,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
49,1.699,Apple,4,-85,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
50,1.729,Apple,4,-90,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
51,1.762,Apple,4,-95,90,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
