,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,1.03,Bananas,-79,170,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': '30'}"
1,1.064,Bananas,-79,163,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': '30'}"
2,1.097,Bananas,-79,156,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
3,1.131,Bananas,-79,149,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
4,1.163,Bananas,-79,142,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
5,1.197,Bananas,-79,135,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
6,1.229,Bananas,-79,128,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
7,1.262,Bananas,-79,121,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
8,1.296,Bananas,-79,114,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
9,1.329,Bananas,-79,107,90,[],looks_show,['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
10,1.362,Bananas,-79,100,90,[],looks_show,['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
11,1.396,Bananas,-79,93,90,[],looks_show,['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
12,1.429,Bananas,-79,86,90,[],looks_show,['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
13,1.461,Bananas,-79,79,90,[],looks_show,['Left'],{},"{'Punkte': 0, 'Zeit': 29}"
14,1.494,Bananas,-79,72,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
15,1.528,Bananas,-79,65,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
16,1.561,Bananas,-79,58,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
17,1.595,Bananas,-79,51,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
18,1.627,Bananas,-79,44,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
19,1.66,Bananas,-79,37,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
20,1.694,Bananas,-79,30,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
21,1.727,Bananas,-79,23,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
22,1.759,Bananas,-79,16,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
23,1.793,Bananas,-79,9,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
24,1.827,Bananas,-79,2,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
25,1.862,Bananas,-79,-5,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
26,1.894,Bananas,-79,-12,90,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
27,1.926,Bananas,-79,-19,90,[],looks_show,[],{},"{'Punkte': 5, 'Zeit': 29}"
28,1.96,Bananas,-79,-26,90,[],looks_show,[],{},"{'Punkte': 5, 'Zeit': 29}"
29,1.994,Bananas,-79,-33,90,[],looks_show,[],{},"{'Punkte': 5, 'Zeit': 29}"
30,2.026,Bananas,-79,-40,90,[],looks_show,['Left'],{},"{'Punkte': 5, 'Zeit': 29}"
31,2.059,Bananas,-79,-47,90,[],looks_show,['Left'],{},"{'Punkte': 5, 'Zeit': 29}"
32,2.092,Bananas,-79,-54,90,[],looks_show,['Left'],{},"{'Punkte': 5, 'Zeit': 29}"
33,2.125,Bananas,-79,-61,90,[],looks_show,['Left'],{},"{'Punkte': 5, 'Zeit': 29}"
34,2.159,Bananas,-79,-68,90,[],looks_show,['Left'],{},"{'Punkte': 5, 'Zeit': 28}"
35,2.191,Bananas,-79,-75,90,[],looks_show,['Left'],{},"{'Punkte': 5, 'Zeit': 28}"
36,2.224,Bananas,-79,-82,90,[],looks_show,['Left'],{},"{'Punkte': 5, 'Zeit': 28}"
37,2.258,Bananas,-79,-89,90,[],looks_show,[],{},"{'Punkte': 5, 'Zeit': 28}"
38,2.291,Bananas,-79,-96,90,[],looks_show,[],{},"{'Punkte': 5, 'Zeit': 28}"
39,2.324,Bananas,-79,-103,90,[],looks_show,[],{},"{'Punkte': 5, 'Zeit': 28}"
40,2.358,Bananas,64,170,90,['Bowl'],looks_show,[],{},"{'Punkte': 13, 'Zeit': 28}"
41,2.391,Bananas,64,163,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
42,2.424,Bananas,64,156,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
43,2.457,Bananas,64,149,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
44,2.49,Bananas,64,142,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
45,2.523,Bananas,64,135,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
46,2.556,Bananas,64,128,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
47,2.59,Bananas,64,121,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
48,2.623,Bananas,64,114,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
49,2.656,Bananas,64,107,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
50,2.689,Bananas,64,100,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
51,2.722,Bananas,64,93,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
52,2.755,Bananas,64,86,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
53,2.789,Bananas,64,79,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
54,2.822,Bananas,64,72,90,[],looks_show,['Right'],{},"{'Punkte': 13, 'Zeit': 28}"
