,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.08,Bowl,0,-145,90,[],control_wait_until{operator_equals{OPERAND1OPERAND2}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
1,0.108,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
2,0.14,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
3,0.172,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
4,0.206,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
5,0.24,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
6,0.271,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
7,0.304,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
8,0.338,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
9,0.373,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
10,0.404,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
11,0.436,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
12,0.469,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
13,0.503,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
14,0.535,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
15,0.568,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
16,0.602,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
17,0.635,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
18,0.669,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
19,0.702,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
20,0.735,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
21,0.769,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
22,0.802,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
23,0.834,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
24,0.866,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
25,0.9,Bowl,0,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
26,0.934,Bowl,10,-145,90,[],motion_movesteps{math_number(NUM:10)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
27,0.966,Bowl,20,-145,90,[],motion_movesteps{math_number(NUM:10)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
28,1.0,Bowl,30,-145,90,[],motion_movesteps{math_number(NUM:10)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
29,1.035,Bowl,30,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
30,1.069,Bowl,30,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
31,1.101,Bowl,30,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': 29}"
32,1.136,Bowl,30,-145,90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': 29}"
