,"3 * (Move - [Dir:Left], Touching - [Item:['Edge']], KeysDown - [Keys:['Left', 'Right']])","1 * (Touching - [Item:['Edge']], KeysDown - [Keys:['Left', 'Right']])","10 * (Move - [Dir:Left], KeysDown - [Keys:['Left', 'Right']])","63 * (Move - [Dir:Right], Touching - [Item:['Ball']], KeysDown - [Keys:['Right']])","10 * (KeysDown - [Keys:['Left']],)","1 * (Move - [Dir:Right], Touching - [Item:['Edge', 'Ball']], KeysDown - [Keys:['Right']])","1 * (Touching - [Item:['Edge']], KeysDown - [Keys:['Left']])","12 * (Touching - [Item:['Ball']], KeysDown - [Keys:['Right']])","3 * (Touching - [Item:['Ball']], KeysDown - [Keys:['Left']])","11 * (Move - [Dir:Right], KeysDown - [Keys:['Left', 'Right']])","1 * (KeysDown - [Keys:['Up']],)","216 * (KeysDown - [Keys:['Right']],)","95 * (Move - [Dir:Right], Touching - [Item:['Edge']], KeysDown - [Keys:['Right']])","20 * (Touching - [Item:['Edge']], KeysDown - [Keys:['Right']])","1 * (Move - [Dir:Right], Touching - [Item:['Ball']], KeysDown - [Keys:['Right', 'Left']])","42 * (Touching - [Item:['Edge']],)","1350 * (Move - [Dir:Left], KeysDown - [Keys:['Left']])","1456 * (Move - [Dir:Right], KeysDown - [Keys:['Right']])","40 * (Move - [Dir:Left], Touching - [Item:['Ball']], KeysDown - [Keys:['Left']])","3 * (Move - [Dir:Right], Touching - [Item:['Edge']], KeysDown - [Keys:['Left', 'Right']])","1 * (KeysDown - [Keys:['Down']],)","6 * (Move - [Dir:Right],)","4 * (Move - [Dir:Right], KeysDown - [Keys:['Right', 'Left']])",395 * (),"4 * (Move - [Dir:Left],)","2 * (Move - [Dir:Left], Touching - [Item:['Edge']], KeysDown - [Keys:['Right', 'Left']])","25 * (Touching - [Item:['Ball']],)","5 * (Move - [Dir:Left], KeysDown - [Keys:['Right', 'Left']])","74 * (Move - [Dir:Left], Touching - [Item:['Edge']], KeysDown - [Keys:['Left']])","2 * (Move - [Dir:Right], Touching - [Item:['Edge']], KeysDown - [Keys:['Right', 'Left']])",y,data_index
0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1111-1
1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1111-2
2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1111-3
3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1111-4
4,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1111-5
5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1111-6
6,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1111-7
7,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1111-8
8,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1111-9
9,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1111-10
10,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1110-1
11,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1110-2
12,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1110-3
13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1110-4
14,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1110-5
15,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1110-6
16,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1110-7
17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1110-8
18,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1110-9
19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1110-10
20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1100-1
21,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1100-2
22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1100-3
23,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1100-4
24,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1100-5
25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1100-6
26,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1100-7
27,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1100-8
28,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1100-9
29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1100-10
30,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1011-1
31,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1011-2
32,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1011-3
33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1011-4
34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1011-5
35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1011-6
36,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1011-7
37,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1010-1
