,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.062,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
1,0.094,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
2,0.127,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
3,0.161,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
4,0.197,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
5,0.23,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
6,0.261,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
7,0.294,Paddle,32,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
8,0.329,Paddle,52,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
9,0.362,Paddle,72,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
10,0.395,Paddle,92,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
11,0.428,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
12,0.462,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
13,0.495,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
14,0.529,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
15,0.561,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
16,0.594,Paddle,112,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
17,0.644,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
18,0.693,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
19,0.726,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
20,0.759,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
21,0.792,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Left'],{},{}
22,0.825,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
23,0.858,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
24,0.891,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
25,0.925,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
26,0.957,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
27,0.991,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
28,1.024,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
29,1.057,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
30,1.09,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
31,1.123,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
32,1.156,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
33,1.189,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
34,1.223,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
35,1.256,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
36,1.289,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
37,1.323,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
38,1.355,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
39,1.388,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
40,1.421,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
41,1.454,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
42,1.488,Paddle,12,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
