,clockTime,sprite,x,y,direction,touching,block,keysDown,variables,stageVariables
0,0.008,Paddle,32,-145,-90,[],event_whenflagclicked,[],{},{}
1,0.134,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
2,0.166,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
3,0.199,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
4,0.237,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
5,0.266,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
6,0.299,Paddle,-68,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},{}
7,0.365,Paddle,-68,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
8,0.366,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
9,0.399,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
10,0.432,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
11,0.468,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
12,0.5,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
13,0.532,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
14,0.565,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
15,0.6,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
16,0.651,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
17,0.669,Paddle,132,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
18,0.701,Paddle,112,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
19,0.735,Paddle,92,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
20,0.769,Paddle,72,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
21,0.8,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
22,0.834,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
23,0.867,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
24,0.9,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
25,0.933,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
26,0.966,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
27,1.0,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
28,1.033,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
29,1.066,Paddle,-108,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
30,1.1,Paddle,-128,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
31,1.135,Paddle,-148,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
32,1.166,Paddle,-168,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
33,1.2,Paddle,-188,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
34,1.234,Paddle,-208,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
35,1.266,Paddle,-228,-145,-90,[],motion_changexby{math_number(NUM:-20)},['Left'],{},{}
36,1.299,Paddle,-228,-145,-90,[],control_if{sensing_keypressed{KEY_OPTION}},['Right'],{},{}
37,1.299,Paddle,-208,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
38,1.332,Paddle,-188,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
39,1.365,Paddle,-168,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
40,1.398,Paddle,-148,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
41,1.43,Paddle,-128,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
42,1.464,Paddle,-108,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
43,1.498,Paddle,-88,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
44,1.53,Paddle,-68,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
45,1.563,Paddle,-48,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
46,1.596,Paddle,-28,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
47,1.629,Paddle,-8,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
48,1.662,Paddle,12,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
49,1.696,Paddle,32,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
50,1.729,Paddle,52,-145,-90,[],motion_changexby{math_number(NUM:20)},['Right'],{},{}
